CartonIDS,CartonNum,Gap,Length,Barcode,Timestamp,Recirc
CartonID,100,35.462,19.2955,SD0001GOOD_001_v,2022-05-13T21:42:04.053Z,41
CartonID,101,65.1875,18.774,SD0001GOOD_001_v,2022-05-13T21:42:04.470Z,41
CartonID,102,58.9295,18.774,SD0007GOOD_001_v,2022-05-13T21:42:05.208Z,41
CartonID,103,65.1875,19.2955,SD0002GOOD_001_v,2022-05-13T21:42:05.808Z,41
CartonID,104,65.1875,19.2955,SD0009GOOD_001_v,2022-05-13T21:42:06.680Z,41
CartonID,105,46.935,18.774,SD0006GOOD_001_v,2022-05-13T21:42:07.693Z,41
CartonID,106,54.236,19.817,SD0001GOOD_001_v,2022-05-13T21:42:08.196Z,41
CartonID,107,14.602,18.774,SD0010GOOD_001_v,2022-05-13T21:42:08.755Z,41
CartonID,108,37.548,20.3385,SD0005GOOD_001_v,2022-05-13T21:42:09.023Z,41
CartonID,109,62.58,15.1235,SD0004GOOD_001_v,2022-05-13T21:42:09.461Z,41
CartonID,110,18.774,14.602,SD0004GOOD_001_v,2022-05-13T21:42:10.053Z,41
CartonID,111,42.763,18.2525,SD0001GOOD_001_v,2022-05-13T21:42:10.316Z,41
CartonID,112,65.709,19.2955,SD0003GOOD_001_v,2022-05-13T21:42:10.786Z,41
CartonID,113,17.2095,17.2095,SD0005GOOD_001_v,2022-05-13T21:42:12.676Z,41
CartonID,114,61.537,15.1235,SD0010GOOD_001_v,2022-05-13T21:42:12.947Z,41
CartonID,115,65.1875,18.774,SD0003GOOD_001_v,2022-05-13T21:42:13.531Z,41
CartonID,116,38.0695,15.645,SD0001GOOD_001_v,2022-05-13T21:42:14.362Z,41
CartonID,117,65.1875,16.1665,SD0003GOOD_001_v,2022-05-13T21:42:14.776Z,41
CartonID,118,41.72,15.1235,SD0003GOOD_001_v,2022-05-13T21:42:15.518Z,41
CartonID,119,65.1875,19.2955,SD0003GOOD_001_v,2022-05-13T21:42:15.955Z,41
CartonID,120,65.1875,19.2955,SD0003GOOD_001_v,2022-05-13T21:42:19.085Z,41
CartonID,121,65.709,19.2955,SD0007GOOD_001_v,2022-05-13T21:42:23.366Z,41
CartonID,122,65.1875,15.1235,SD0001GOOD_001_v,2022-05-13T21:43:45.189Z,41
CartonID,123,61.0155,21.3815,SD0010GOOD_001_v,2022-05-13T21:43:48.100Z,41
CartonID,124,3.129,30.7685,9999999999,2022-05-13T21:43:48.736Z,41
CartonID,125,8.344,18.774,SD0004GOOD_001_v,2022-05-13T21:43:48.991Z,41
CartonID,126,4.172,16.688,SD0005GOOD_001_v,2022-05-13T21:43:49.210Z,41
CartonID,127,20.86,18.774,SD0001GOOD_001_v,2022-05-13T21:43:49.368Z,41
CartonID,128,9.9085,19.2955,SD0004GOOD_001_v,2022-05-13T21:43:49.677Z,41
CartonID,129,10.43,18.774,SD0007GOOD_001_v,2022-05-13T21:43:49.895Z,41
CartonID,130,8.344,16.688,SD0009GOOD_001_v,2022-05-13T21:43:50.131Z,41
CartonID,131,10.9515,16.1665,SD0005GOOD_001_v,2022-05-13T21:43:50.329Z,41
CartonID,132,62.0585,19.2955,SD0001GOOD_001_v,2022-05-13T21:43:50.532Z,41
CartonID,133,14.602,15.1235,SD0004GOOD_001_v,2022-05-13T21:43:51.152Z,41
CartonID,134,5.7365,15.645,SD0003GOOD_001_v,2022-05-13T21:43:51.387Z,41
CartonID,135,4.6935,18.774,SD0004GOOD_001_v,2022-05-13T21:43:51.554Z,41
CartonID,136,11.9945,21.3815,SD0006GOOD_001_v,2022-05-13T21:43:51.744Z,41
CartonID,137,6.7795,18.774,SD0002GOOD_001_v,2022-05-13T21:43:52.004Z,41
CartonID,138,6.7795,15.1235,SD0005GOOD_001_v,2022-05-13T21:43:52.202Z,41
CartonID,139,4.6935,18.2525,SD0009GOOD_001_v,2022-05-13T21:43:52.377Z,41
CartonID,140,14.0805,18.774,SD0010GOOD_001_v,2022-05-13T21:43:52.555Z,41
CartonID,141,10.9515,18.774,SD0008GOOD_001_v,2022-05-13T21:43:52.814Z,41
CartonID,142,13.0375,16.1665,SD0003GOOD_001_v,2022-05-13T21:43:53.050Z,41
CartonID,143,26.5965,19.2955,SD0001GOOD_001_v,2022-05-13T21:43:53.268Z,41
CartonID,144,8.865499,15.645,SD0007GOOD_001_v,2022-05-13T21:43:53.625Z,41
CartonID,145,21.903,18.774,SD0010GOOD_001_v,2022-05-13T21:43:53.816Z,41
CartonID,146,18.2525,18.774,SD0008GOOD_001_v,2022-05-13T21:43:54.136Z,41
CartonID,147,9.387,18.2525,??????????,2022-05-13T21:43:54.420Z,41
CartonID,148,11.9945,18.774,SD0009GOOD_001_v,2022-05-13T21:43:54.635Z,41
CartonID,149,7.8225,15.645,SD0001GOOD_001_v,2022-05-13T21:43:54.878Z,41
CartonID,150,5.215,19.2955,SD0007GOOD_001_v,2022-05-13T21:43:55.060Z,41
CartonID,151,4.172,19.817,SD0003GOOD_001_v,2022-05-13T21:43:55.251Z,41
CartonID,152,30.7685,18.774,SD0010GOOD_001_v,2022-05-13T21:43:55.441Z,41
CartonID,153,26.5965,18.774,SD0002GOOD_001_v,2022-05-13T21:43:55.822Z,41
CartonID,154,3.129,16.1665,SD0007GOOD_001_v,2022-05-13T21:43:56.163Z,41
CartonID,155,38.0695,18.2525,SD0010GOOD_001_v,2022-05-13T21:43:56.374Z,41
CartonID,156,5.215,14.602,SD0008GOOD_001_v,2022-05-13T21:43:56.812Z,41
CartonID,157,9.9085,19.2955,SD0006GOOD_001_v,2022-05-13T21:43:56.970Z,41
CartonID,158,21.3815,18.774,SD0007GOOD_001_v,2022-05-13T21:43:57.193Z,41
CartonID,159,7.301,18.774,SD0009GOOD_001_v,2022-05-13T21:43:57.501Z,41
CartonID,160,9.9085,15.645,SD0001GOOD_001_v,2022-05-13T21:43:57.716Z,41
CartonID,161,22.4245,15.1235,SD0010GOOD_001_v,2022-05-13T21:43:57.910Z,41
CartonID,162,6.7795,19.2955,SD0007GOOD_001_v,2022-05-13T21:43:58.206Z,41
CartonID,163,7.301,18.774,SD0010GOOD_001_v,2022-05-13T21:43:58.405Z,41
CartonID,164,15.645,17.731,SD0004GOOD_001_v,2022-05-13T21:43:58.608Z,41
CartonID,165,5.7365,16.688,??????????,2022-05-13T21:43:58.875Z,41
CartonID,166,20.86,15.1235,SD0001GOOD_001_v,2022-05-13T21:43:59.049Z,41
CartonID,167,35.462,19.2955,SD0006GOOD_001_v,2022-05-13T21:43:59.329Z,41
CartonID,168,5.215,15.1235,SD0009GOOD_001_v,2022-05-13T21:43:59.751Z,41
CartonID,169,4.172,18.774,SD0001GOOD_001_v,2022-05-13T21:43:59.909Z,41
CartonID,170,15.1235,18.774,SD0008GOOD_001_v,2022-05-13T21:44:00.091Z,41
CartonID,171,4.172,16.1665,SD0007GOOD_001_v,2022-05-13T21:44:00.359Z,41
CartonID,172,8.344,19.2955,SD0002GOOD_001_v,2022-05-13T21:44:00.517Z,41
CartonID,173,13.0375,18.774,SD0004GOOD_001_v,2022-05-13T21:44:00.728Z,41
CartonID,174,13.559,17.731,SD0008GOOD_001_v,2022-05-13T21:44:00.975Z,41
CartonID,175,15.645,15.1235,SD0008GOOD_001_v,2022-05-13T21:44:01.235Z,41
CartonID,176,27.6395,15.1235,SD0010GOOD_001_v,2022-05-13T21:44:01.474Z,41
CartonID,177,18.2525,18.774,SD0003GOOD_001_v,2022-05-13T21:44:01.798Z,41
CartonID,178,5.215,16.1665,SD0003GOOD_001_v,2022-05-13T21:44:02.090Z,41
CartonID,179,35.9835,18.774,SD0003GOOD_001_v,2022-05-13T21:44:02.252Z,41
CartonID,180,6.7795,19.817,SD0010GOOD_001_v,2022-05-13T21:44:02.674Z,41
CartonID,181,8.344,23.4675,SD0003GOOD_001_v,2022-05-13T21:44:02.881Z,41
CartonID,182,11.9945,16.1665,SD0008GOOD_001_v,2022-05-13T21:44:03.128Z,41
CartonID,183,14.602,18.774,SD0005GOOD_001_v,2022-05-13T21:44:03.347Z,41
CartonID,184,5.215,15.1235,SD0002GOOD_001_v,2022-05-13T21:44:03.606Z,41
CartonID,185,5.215,19.2955,SD0002GOOD_001_v,2022-05-13T21:44:03.773Z,41
CartonID,186,12.516,15.645,SD0006GOOD_001_v,2022-05-13T21:44:03.959Z,41
