Number,Event_Timestamp,Duration,Class,Location,Description,Tag
38223697,17:58.0,509:20:37,Error,PS2-22,Circuit Breaker Fault in DPB Panel,[MCP20]PS02_22.Fault.Flt_CB
38228102,17:58.0,509:20:37,Error,S1-4-3.SOL1,I/O Module Fault,[MCP20]S01_04_3_SOL1_Mod_OK
38227949,17:58.0,509:20:37,Error,S1-12-3.SOL1,I/O Module Fault,[MCP20]S01_12_3_SOL1_Mod_OK
38229910,17:58.0,509:20:37,Error,S1-14-4.SOL1,I/O Module Fault,[MCP20]S01_14_4_SOL1_Mod_OK
38228705,17:58.0,509:20:37,Error,S1-15-4.SOL1,I/O Module Fault,[MCP20]S01_15_4_SOL1_Mod_OK
38228679,17:58.0,509:20:37,Error,S1-17-3.SOL1,I/O Module Fault,[MCP20]S01_17_3_SOL1_Mod_OK
37898897,02:40.0,838:59:59,Error,FL1-3CH.PE2,Jammed,[MCP08]FL01_03CH_PE2.Ctrl.Out_FaultPE
37898522,02:40.0,838:59:59,Error,FL2-3CH.PE2,Jammed,[MCP08]FL02_03CH_PE2.Ctrl.Out_FaultPE
37898722,02:40.0,838:59:59,Error,FL5-3CH.PE2,Jammed,[MCP08]FL05_03CH_PE2.Ctrl.Out_FaultPE
37899176,02:40.0,838:59:59,Error,RE5-1PT.EPC1,Actuated,[MCP09]RE05_01PT_EPC1_STN.Ctrl.Out_EStop
37899138,02:40.0,838:59:59,Error,RE5-9.EPC2,Actuated,[MCP09]RE05_09_EPC2_STN.Ctrl.Out_EStop
37898905,02:40.0,838:59:59,Error,RO1-3CH.PE.Jam,Jammed,[MCP09]RO01_03CH_PE_Jam.Ctrl.Out_FaultPE
37898808,02:40.0,838:59:59,Error,RO3-2.FIO1,I/O Module Fault,[MCP09]RO03_02_FIO1_Mod_OK
37898586,02:40.0,838:59:59,Error,RO3-2.VFD,Communication Fault,[MCP09]RO03_02_ENET.Fault.Comm_Flt
36926405,35:08.0,838:59:59,Error,CH-21402.FIO1,I/O Module Fault,[MCP04]CH21402_FIO1_Mod_OK
36926399,34:58.0,838:59:59,Error,CH-20704.FIO1,I/O Module Fault,[MCP04]CH20704_FIO1_Mod_OK
36926393,34:56.0,838:59:59,Error,CH-20401.FIO1,I/O Module Fault,[MCP04]CH20401_FIO1_Mod_OK
36926389,34:48.0,838:59:59,Error,CH-20303.FIO1,I/O Module Fault,[MCP04]CH20303_FIO1_Mod_OK
36926383,34:40.0,838:59:59,Error,CH-21002.FIO1,I/O Module Fault,[MCP04]CH21002_FIO1_Mod_OK
36926371,34:32.0,838:59:59,Error,CH-20804.FIO1,I/O Module Fault,[MCP04]CH20804_FIO1_Mod_OK
36926373,34:32.0,838:59:59,Error,CH-21104.FIO1,I/O Module Fault,[MCP04]CH21104_FIO1_Mod_OK
36926365,34:15.0,838:59:59,Error,CH-20104.FIO1,I/O Module Fault,[MCP04]CH20104_FIO1_Mod_OK
36926357,34:09.0,838:59:59,Error,CH-20404.FIO1,I/O Module Fault,[MCP04]CH20404_FIO1_Mod_OK
36926347,33:53.0,838:59:59,Error,CH-21308.FIO1,I/O Module Fault,[MCP04]CH21308_FIO1_Mod_OK
36926329,33:12.0,838:59:59,Error,CH-21408.FIO1,I/O Module Fault,[MCP04]CH21408_FIO1_Mod_OK
36926321,32:59.0,838:59:59,Error,CH-21108.FIO1,I/O Module Fault,[MCP04]CH21108_FIO1_Mod_OK
36926315,32:55.0,838:59:59,Error,CH-20801.FIO1,I/O Module Fault,[MCP04]CH20801_FIO1_Mod_OK
36926311,32:50.0,838:59:59,Error,CH-20204.FIO1,I/O Module Fault,[MCP04]CH20204_FIO1_Mod_OK
36926303,32:44.0,838:59:59,Error,CH-20403.FIO1,I/O Module Fault,[MCP04]CH20403_FIO1_Mod_OK
36926291,32:32.0,838:59:59,Error,CH-21001.FIO1,I/O Module Fault,[MCP04]CH21001_FIO1_Mod_OK
36926287,32:20.0,838:59:59,Error,CH-21303.FIO1,I/O Module Fault,[MCP04]CH21303_FIO1_Mod_OK
36926279,32:05.0,838:59:59,Error,CH-20701.FIO1,I/O Module Fault,[MCP04]CH20701_FIO1_Mod_OK
36926269,31:56.0,838:59:59,Error,CH-20504.FIO1,I/O Module Fault,[MCP04]CH20504_FIO1_Mod_OK
36926251,31:29.0,838:59:59,Error,CH-21401.FIO1,I/O Module Fault,[MCP04]CH21401_FIO1_Mod_OK
36926237,30:38.0,838:59:59,Error,CH-21203.FIO1,I/O Module Fault,[MCP04]CH21203_FIO1_Mod_OK
36926227,30:26.0,838:59:59,Error,CH-21003.FIO1,I/O Module Fault,[MCP04]CH21003_FIO1_Mod_OK
36926215,30:12.0,838:59:59,Error,CH-21404.FIO1,I/O Module Fault,[MCP04]CH21404_FIO1_Mod_OK
36926137,28:09.0,838:59:59,Error,CH-21204.FIO1,I/O Module Fault,[MCP04]CH21204_FIO1_Mod_OK
36926131,28:02.0,838:59:59,Error,CH-21304.FIO1,I/O Module Fault,[MCP04]CH21304_FIO1_Mod_OK
36926113,27:47.0,838:59:59,Error,CH-21306.FIO1,I/O Module Fault,[MCP04]CH21306_FIO1_Mod_OK
36926085,27:38.0,838:59:59,Error,CH-21403.FIO1,I/O Module Fault,[MCP04]CH21403_FIO1_Mod_OK
36926079,27:15.0,838:59:59,Error,CH-21103.FIO1,I/O Module Fault,[MCP04]CH21103_FIO1_Mod_OK
36926069,26:53.0,838:59:59,Error,CH-21504.FIO1,I/O Module Fault,[MCP04]CH21504_FIO1_Mod_OK
36926061,26:34.0,838:59:59,Error,CH-21206.FIO1,I/O Module Fault,[MCP04]CH21206_FIO1_Mod_OK
36926055,26:27.0,838:59:59,Error,CH-20201.FIO1,I/O Module Fault,[MCP04]CH20201_FIO1_Mod_OK
36926049,26:22.0,838:59:59,Error,CH-20101.FIO1,I/O Module Fault,[MCP04]CH20101_FIO1_Mod_OK
36926025,25:52.0,838:59:59,Error,CH-21006.FIO1,I/O Module Fault,[MCP04]CH21006_FIO1_Mod_OK
36925989,25:32.0,838:59:59,Error,CH-21506.FIO1,I/O Module Fault,[MCP04]CH21506_FIO1_Mod_OK
36925943,24:29.0,838:59:59,Error,CH-21508.FIO1,I/O Module Fault,[MCP04]CH21508_FIO1_Mod_OK
36925935,24:18.0,838:59:59,Error,CH-21008.FIO1,I/O Module Fault,[MCP04]CH21008_FIO1_Mod_OK
36925925,23:46.0,838:59:59,Error,CH-20803.FIO1,I/O Module Fault,[MCP04]CH20803_FIO1_Mod_OK
36925919,23:21.0,838:59:59,Error,CH-20601.FIO1,I/O Module Fault,[MCP04]CH20601_FIO1_Mod_OK
36925907,23:01.0,838:59:59,Error,CH-20304.FIO1,I/O Module Fault,[MCP04]CH20304_FIO1_Mod_OK
36925881,22:06.0,838:59:59,Error,CH-20703.FIO1,I/O Module Fault,[MCP04]CH20703_FIO1_Mod_OK
