Number (ID),Start Timestamp,End Timestamp,Duration,Class,Location,Description,Tag
42847335,2022-06-23 23:44:04.0,2022-06-23 23:44:07.0,00:00:03,Error,PS1-13,Anti-Gridlock Prevention Mode,[MCP05]PS01_13.Color.Output.5
42847332,2022-06-23 23:44:03.0,2022-06-23 23:44:04.0,00:00:01,Error,PS1-9,Anti-Gridlock Prevention Mode,[MCP05]PS01_09.Color.Output.5
42847330,2022-06-23 23:44:03.0,2022-06-23 23:44:28.0,00:00:25,Error,RE3-10,Anti-Gridlock Prevention Mode,[MCP05]RE03_10.Color.Output.5
42847328,2022-06-23 23:44:03.0,2022-06-23 23:44:28.0,00:00:25,Error,PS3 Loop,No Demand,[MCP05]FMS_PS03_Loop_Curr_PPM_Demand
42847325,2022-06-23 23:44:02.0,2022-06-23 23:44:03.0,00:00:01,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42847318,2022-06-23 23:43:57.0,2022-06-23 23:44:04.0,00:00:07,Error,FMS-DIV.PS1-11.TO.PS2,Air Pressure Fault,[MCP06]FMS_DIV_PS01_11_TO_PS02
42847261,2022-06-23 23:43:33.0,2022-06-23 23:43:35.0,00:00:02,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42847258,2022-06-23 23:43:32.0,2022-06-23 23:43:33.0,00:00:01,Error,BYP1-3,Anti-Gridlock Prevention Mode,[MCP05]BYP01_03.Color.Output.5
42847212,2022-06-23 23:43:15.0,2022-06-23 23:43:17.0,00:00:02,Error,SO1-CH19.Half_PE,Jammed,[MCP20]SO01_CH19.Half_PE.Ctrl.Out_FaultPE
42847168,2022-06-23 23:42:50.0,2022-06-23 23:42:58.0,00:00:08,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42847166,2022-06-23 23:42:50.0,2022-06-23 23:42:51.0,00:00:01,Error,PS1-9,Anti-Gridlock Prevention Mode,[MCP05]PS01_09.Color.Output.5
42847164,2022-06-23 23:42:50.0,2022-06-23 23:43:01.0,00:00:11,Error,PS1-13,Anti-Gridlock Prevention Mode,[MCP05]PS01_13.Color.Output.5
42847162,2022-06-23 23:42:50.0,2022-06-23 23:43:53.0,00:01:03,Error,RE3-10,Anti-Gridlock Prevention Mode,[MCP05]RE03_10.Color.Output.5
42847160,2022-06-23 23:42:50.0,2022-06-23 23:43:53.0,00:01:03,Error,PS3 Loop,No Demand,[MCP05]FMS_PS03_Loop_Curr_PPM_Demand
42847104,2022-06-23 23:42:35.0,2022-06-23 23:42:50.0,00:00:15,Error,FMS-DIV.PS1-11.TO.PS2,Air Pressure Fault,[MCP06]FMS_DIV_PS01_11_TO_PS02
42847083,2022-06-23 23:42:30.0,2022-06-23 23:42:31.0,00:00:01,Error,PS1-9,Anti-Gridlock Prevention Mode,[MCP05]PS01_09.Color.Output.5
42847081,2022-06-23 23:42:30.0,2022-06-23 23:42:34.0,00:00:04,Error,RE3-10,Anti-Gridlock Prevention Mode,[MCP05]RE03_10.Color.Output.5
42847079,2022-06-23 23:42:30.0,2022-06-23 23:42:34.0,00:00:04,Error,PS3 Loop,No Demand,[MCP05]FMS_PS03_Loop_Curr_PPM_Demand
42847067,2022-06-23 23:42:29.0,2022-06-23 23:42:35.0,00:00:06,Error,PS1-13,Anti-Gridlock Prevention Mode,[MCP05]PS01_13.Color.Output.5
42847052,2022-06-23 23:42:27.0,2022-06-23 23:42:28.0,00:00:01,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42847037,2022-06-23 23:42:18.0,2022-06-23 23:42:21.0,00:00:03,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42847013,2022-06-23 23:42:07.0,2022-06-23 23:42:11.0,00:00:04,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42846999,2022-06-23 23:41:59.0,2022-06-23 23:42:01.0,00:00:02,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42846957,2022-06-23 23:41:31.0,2022-06-23 23:41:33.0,00:00:02,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42846934,2022-06-23 23:41:19.0,2022-06-23 23:41:24.0,00:00:05,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42846904,2022-06-23 23:41:02.0,2022-06-23 23:41:05.0,00:00:03,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42846880,2022-06-23 23:40:48.0,2022-06-23 23:40:51.0,00:00:03,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42846832,2022-06-23 23:40:20.0,2022-06-23 23:40:27.0,00:00:07,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
